,X0,X1,S,A,T,Delta
0,1.0,-0.7854491730496691,1,1,1.620067986737626,0
1,1.0,0.1246926705355278,1,1,2.27990199737452,0
2,1.0,1.3752215559304783,1,1,3.5269554945179244,1
3,1.0,0.950091415769782,1,1,3.5230687326144006,1
4,1.0,-0.46381139737120947,1,0,2.6773177856095325,1
5,1.0,-0.36625160115097855,1,1,0.07296004193861219,0
6,1.0,-2.2145436441978346,1,0,0.7389650007858851,1
7,1.0,-2.116003687425537,1,0,2.211287756764226,1
8,1.0,0.8367593815145422,1,1,6.043253299163254,0
9,1.0,0.0984660183145839,1,1,6.107847039361774,1
10,1.0,-0.3076605848099063,1,0,1.987467287617683,1
11,1.0,-0.759994362229302,1,1,3.7774211962211397,0
12,1.0,-0.9500563133209721,1,1,5.988474411992731,1
13,1.0,1.6063391955845612,1,0,1.4638076705364467,1
14,1.0,-0.2070549180674579,1,1,6.816375231393521,1
15,1.0,-1.2616361045428595,1,0,2.8215326663432423,1
16,1.0,0.6141339420343588,1,0,1.9095729102564154,1
17,1.0,-0.23097421003952096,1,1,3.042885364292469,0
18,1.0,-1.7795402985071431,1,1,8.050402398343161,0
19,1.0,-1.4959776499447826,1,0,0.9021316489236025,1
20,1.0,-0.42530032424737324,1,0,1.744900797908291,1
21,1.0,1.4324477296184108,1,1,2.778903839406489,1
22,1.0,-0.9475775698911572,1,0,2.464865646905283,1
23,1.0,-1.1902837369978196,1,1,1.4918753630694945,0
24,1.0,-0.8627409510587858,1,0,2.0961201097343083,1
25,1.0,-1.1945074047069153,1,1,7.232348778812431,1
26,1.0,2.043629634042953,1,1,1.5824750577346822,0
27,1.0,-0.34491207866069473,1,0,2.51677345573291,1
28,1.0,0.6114812189213628,1,1,5.858912951442038,1
29,1.0,-0.2613508922945136,1,0,1.658662469647409,1
30,1.0,0.2892570162085075,1,1,1.2407078247742107,0
31,1.0,-2.3651309303974006,1,1,6.863493973835456,0
32,1.0,-0.4205303152410859,1,0,1.0414753848953682,1
33,1.0,-0.8453388407413356,1,1,6.825310736958718,1
34,1.0,-1.2335271939360601,1,1,6.6148862808337086,1
35,1.0,-0.9295951092153438,1,1,3.1541167684914875,0
36,1.0,0.44005696874167854,1,1,0.5989996459384663,0
37,1.0,0.31601447540489536,1,1,6.269980668489591,1
38,1.0,0.08858285072143157,1,1,1.812906195049718,0
39,1.0,-0.1755554413091836,1,1,4.996294827809091,1
40,1.0,0.5531774045365387,1,1,4.070405137957458,0
41,1.0,-0.04074859243282386,1,1,4.618706653689465,0
42,1.0,-0.6375907924451901,1,0,1.8609719032018024,1
43,1.0,-0.967143274561362,1,0,2.1868879425087906,1
44,1.0,0.06956315748803554,1,0,1.445461129921534,1
45,1.0,1.229606504833662,1,0,1.85634574900305,1
46,1.0,-0.4323726918646876,1,0,1.914500308843674,1
47,1.0,-2.2343898918158978,1,1,3.6643755709199666,0
48,1.0,-1.115246594955528,1,1,7.353819793115357,1
49,1.0,-2.1990373416723674,1,1,3.4279648477587883,1
50,1.0,-3.6947912899429998,1,1,7.208306920056248,0
51,1.0,-1.5268453564702604,1,1,4.733841953966878,1
52,1.0,0.3344344804334569,1,1,4.167334544342332,0
53,1.0,-1.9520585288657504,1,1,5.916401484430444,0
54,1.0,-0.036880958558297317,1,1,8.358452345168965,1
55,1.0,-0.683399215878016,1,1,7.480877544754093,0
56,1.0,-2.969406805245842,1,1,3.985238164034406,0
57,1.0,0.5385726580300669,1,1,4.584547039686561,0
58,1.0,-1.6675160469618033,1,1,5.497186019844126,0
59,1.0,-2.2394114217610066,1,1,2.832771671786345,0
60,1.0,1.6227550923665497,1,0,1.8913285097044181,1
61,1.0,-0.2886465676752285,1,1,1.5161015782996126,0
62,1.0,-1.270702233969148,1,1,4.70745191853115,0
63,1.0,0.591344716814659,1,1,6.132739266217082,1
64,1.0,-3.452485552189627,1,0,3.6745898598414213,1
65,1.0,0.24313720715307396,1,1,6.616045233038467,1
66,1.0,1.95267728491552,1,0,1.4948543672779864,1
67,1.0,-0.9125419828831669,1,1,3.2261572707220383,0
68,1.0,-0.34411618125497306,1,0,1.5317138626670868,1
69,1.0,1.631766146886625,1,1,6.722292805493028,1
70,1.0,1.1484529292254828,1,0,1.927103412242057,1
71,1.0,-0.16686389123545997,1,1,4.944866824465822,0
72,1.0,-2.3120558901012993,1,0,2.4955974757501935,1
73,1.0,0.155918247706206,1,0,1.9751330402410554,1
74,1.0,0.6757575089051895,1,0,1.6539073751549398,1
75,1.0,-0.795125793202271,1,0,3.0890758679640244,1
76,1.0,-0.1782391896434501,1,1,7.083551777495494,1
77,1.0,0.09018057990747042,1,1,4.4485772485406265,0
78,1.0,0.33596829967847475,1,1,4.204088990701295,0
79,1.0,-1.3253579908219844,1,0,2.8295042640763786,1
80,1.0,-0.6230813967935311,1,1,1.925375703608019,0
81,1.0,1.4969094612562648,1,1,5.294055357728411,0
82,1.0,0.9609704877381557,1,1,3.1788307073818385,0
83,1.0,-1.937604021242597,1,1,5.484963010838748,1
84,1.0,-0.20667844579332,1,0,1.9125404957324024,1
85,1.0,-0.6736599756251997,1,0,1.5221519064194788,1
86,1.0,-3.0701177614789,1,1,0.7750866811017575,0
87,1.0,-1.8163437390474537,1,1,4.637349321565471,0
88,1.0,-1.1829573880807638,1,0,2.4498974410300836,1
89,1.0,-1.898325985074742,1,1,6.507005240766684,1
90,1.0,0.797981410377832,1,1,4.256700086961273,0
91,1.0,0.29266916074132154,1,1,4.371582165148014,1
92,1.0,1.042268625608513,1,1,2.046549534094137,0
93,1.0,1.8235549656335057,1,1,2.4079261664430476,0
94,1.0,-0.2641524704258005,1,1,6.819446569205735,1
95,1.0,-1.4083806610118557,1,0,2.1121498676644332,1
96,1.0,-2.0232425267461958,1,0,2.708506777979672,1
97,1.0,-1.1146428585120818,1,1,4.864622067916698,0
98,1.0,0.9381786578034081,1,1,2.8832567850353614,0
99,1.0,1.9494456995642482,1,1,7.076781006560504,1
100,1.0,-2.348382702483572,1,1,3.4490107606969556,1
101,1.0,-1.4690174219753227,1,1,3.945978126068682,0
102,1.0,-0.4288603889463452,1,1,3.6726902277552305,0
103,1.0,0.3263834643585226,1,1,6.334450999543826,0
104,1.0,0.17031276514828553,1,1,4.83812016945277,1
105,1.0,-2.1404744074520736,1,1,0.7692726649048482,0
106,1.0,-2.298010116649394,1,0,2.3313488703624308,1
107,1.0,-0.48931304715719776,1,0,2.508638296569759,1
108,1.0,0.15982697417707015,1,1,3.458472752262673,0
109,1.0,-1.4821700114982892,1,1,5.561197110930644,0
110,1.0,-0.8370964274665571,1,1,3.091134779776415,0
111,1.0,-2.8283704891894215,1,0,2.498865668265993,1
112,1.0,-1.387103647361348,1,0,2.378048566836664,1
113,1.0,-0.8945956253325735,1,1,4.763298045987396,0
114,1.0,-1.5716643740408933,1,1,2.3085719198247374,0
115,1.0,-0.8362730305214613,1,1,6.239925740995709,0
116,1.0,-1.5399720206170868,1,1,6.464020091873969,0
117,1.0,-0.6805515036701815,1,1,4.783927321587409,0
118,1.0,0.3536459693468158,1,0,1.2249186980154894,1
119,1.0,0.2789259604790907,1,1,3.502438912983636,0
120,1.0,-0.007964551018785793,1,1,3.9802287987058715,1
121,1.0,0.09395319179537442,1,0,2.14192827253475,1
122,1.0,-0.9926836910566668,1,0,2.213274936284502,1
123,1.0,-0.4327807308245086,1,1,2.561872016807328,0
124,1.0,1.4795007598946752,1,1,2.7519474709395157,0
125,1.0,0.11138764226005482,1,1,6.65636131323179,0
126,1.0,-0.9830547472860995,1,1,4.0468348046248614,0
127,1.0,-0.4165097292711995,1,1,5.550942272770609,0
128,1.0,-2.10294871047926,1,1,1.7288771590578744,0
129,1.0,0.15201671976705766,1,1,5.094447701825539,0
130,1.0,-0.6861994281504848,1,0,1.8434007934882144,1
131,1.0,-0.1568519750493102,1,0,2.0093014187172447,1
132,1.0,-1.563595656405603,1,0,2.9585304197542364,1
133,1.0,-1.1112048038418787,1,1,5.351291803656667,0
134,1.0,1.0770176168927177,1,1,6.4402399740517025,1
135,1.0,0.3487179768882326,1,1,1.7373845765172518,0
136,1.0,-1.7062798027451451,1,0,2.578162692291389,1
137,1.0,-1.1111623275266211,1,1,2.15244170954015,0
138,1.0,0.9236721528894676,1,0,1.1711069329265684,1
139,1.0,0.8391655374172957,1,1,3.611970084853793,0
140,1.0,-0.3422178309278072,1,0,2.0245575664423883,1
141,1.0,-0.9809632524484052,1,1,2.409228065536234,0
142,1.0,-0.4958970173817985,1,1,4.568939251730772,0
143,1.0,-0.8479137646463466,1,1,6.894242703954622,1
144,1.0,0.16924037186056995,1,1,1.8933421652358826,0
145,1.0,-0.6193383454150481,1,1,6.632819584063061,0
146,1.0,-0.8235502990250891,1,1,6.843327709196949,0
147,1.0,-0.049850345484671765,1,1,3.8228698829099192,0
148,1.0,-0.7316850970766414,1,0,2.5406805869969076,1
149,1.0,-1.2816435965845323,1,1,6.583223923868913,1
150,1.0,-1.699080980531286,1,1,6.6689212388669175,1
151,1.0,1.0513833446570193,1,1,4.741780853510971,0
152,1.0,0.46182835666647637,1,1,3.604427948616253,0
153,1.0,-0.4643597604103189,1,0,0.8487610156689255,1
154,1.0,-3.196841061765759,1,1,9.09888198170602,1
155,1.0,-0.8001406882458749,1,1,5.137493895929328,0
156,1.0,-0.40326475105071524,1,0,1.0254246104318574,1
157,1.0,0.6182073196495452,1,1,5.217094296613226,0
158,1.0,0.304182744321978,1,1,2.9121233557426605,0
159,1.0,0.42789000040453506,1,1,4.1359928418952405,0
160,1.0,0.9111860158089964,1,0,1.6996448001487086,1
161,1.0,-0.3226499571362129,1,1,1.0842305105186174,0
162,1.0,-0.5887181038801649,1,1,4.837732343390664,0
163,1.0,0.297432343792569,1,0,1.4062676623942088,1
164,1.0,1.233122865907743,1,1,5.341906066209642,1
165,1.0,-0.05673192441256658,1,0,1.6336551319246941,1
166,1.0,-2.0259657905937454,1,0,3.028239921587122,1
167,1.0,-0.14153115820116824,1,1,6.638880627611753,1
168,1.0,-0.8759059076838628,1,0,2.813045614143853,1
169,1.0,-1.1688040887112807,1,1,2.7834889991446286,0
170,1.0,-1.7356750275536204,1,1,3.1675847426652477,0
171,1.0,-1.4420862003506256,1,1,2.4072199306278206,0
172,1.0,-1.3959052705235577,1,0,2.5485654309183357,1
173,1.0,-0.9882980268855783,1,1,1.2314195584823928,0
174,1.0,-0.3136601640596697,1,1,3.271458707779704,0
175,1.0,-1.2667984619420938,1,1,1.8034704279681903,0
176,1.0,-0.9792431195769336,1,0,2.8181327637134794,1
177,1.0,-0.8462192283998723,1,0,2.1700645788238355,1
178,1.0,-1.9496651090019188,1,0,3.6445705280588347,1
179,1.0,-0.406162823743499,1,1,5.300348093921377,0
180,1.0,-2.1864129440867037,1,1,2.332503423828653,0
181,1.0,-0.07179849654750914,1,1,4.718433578054738,1
182,1.0,-1.4805758040403036,1,1,2.9854265832350784,0
183,1.0,-0.6864382671309048,1,0,2.0882121809457868,1
184,1.0,-2.2214764937676903,1,0,3.005464062621528,1
185,1.0,-1.331329698332362,1,0,1.8640788980630711,1
186,1.0,-0.5634572552963512,1,1,6.947634660719952,1
187,1.0,0.9144470248389944,1,1,3.314515683118389,0
188,1.0,1.1714533926961552,1,1,2.5547641018671223,0
189,1.0,-0.2892510920604151,1,1,0.4639648129145935,0
190,1.0,-1.4036046780953502,1,1,1.955378614859775,0
191,1.0,-2.305382130951789,1,0,2.588784226896482,1
192,1.0,-0.8488066531941494,1,1,2.635435657336469,0
193,1.0,-2.5925636794662097,1,1,2.897287903036348,0
194,1.0,-0.923609657218382,1,1,5.469792409648612,0
195,1.0,-0.14993626433265572,1,1,6.4697326445105565,1
196,1.0,-0.7201572715074801,1,1,1.6577913899442767,0
197,1.0,-1.1673719146751487,1,0,2.223802015316811,1
198,1.0,-1.8130258556221595,1,1,1.9427075769041537,0
199,1.0,-2.3997862187815224,1,0,1.7784041038995233,1
200,1.0,-1.716467987663518,1,1,6.480266684544931,0
201,1.0,-1.6375181386321174,1,1,5.083829558743874,0
202,1.0,0.5753782727070127,1,1,2.0604371497236844,0
203,1.0,-1.7112669692160118,1,1,6.8595202174377325,1
204,1.0,-1.0456526287288606,1,1,6.920201168705793,0
205,1.0,-0.1988249256232686,1,0,2.475866098132784,1
206,1.0,0.7021651815731194,1,0,1.7699199599163622,1
207,1.0,0.15106418060280002,1,0,1.8416894480488197,1
208,1.0,-0.3227803052439506,1,0,1.7327729537418366,1
209,1.0,-0.3942743818382938,1,0,1.4520023700360856,1
210,1.0,-1.3399031028296005,1,1,6.7806188715681,1
211,1.0,0.6495431978635642,1,0,1.7028760035393586,0
212,1.0,-0.28510735466847303,1,1,4.199624330883217,0
213,1.0,-1.4907898278089282,1,1,1.767992338020865,0
214,1.0,-3.8606338256998147,1,0,2.4651442105896457,1
215,1.0,-1.995928568841268,1,0,1.7606774762957844,1
216,1.0,-0.22042347534524087,1,1,5.521649295229794,0
217,1.0,-0.881865604088883,1,0,2.728812834358396,1
218,1.0,-1.1930061862599222,1,0,2.4978654157082563,1
219,1.0,-0.004163150880827693,1,1,4.073344338587578,0
220,1.0,0.8602773623516939,1,1,5.467427951548275,0
221,1.0,-1.1681795296904798,1,0,2.4394079556927335,1
222,1.0,0.3811645148774375,1,0,1.634301372310716,1
223,1.0,0.22469446165643991,1,1,0.7636599616964855,0
224,1.0,-1.1723962367805951,1,1,0.7237475789912369,0
225,1.0,-0.5863861353489345,1,0,2.275416481782064,1
226,1.0,0.8515756959548038,1,0,1.389743501615216,1
227,1.0,1.718845474235449,1,0,1.2034303875828358,0
228,1.0,-1.3998090867329283,1,0,2.2894306511155915,1
229,1.0,0.7050015801277707,1,0,1.4530600928441466,1
230,1.0,-0.15668233687552563,1,0,2.079744389580798,1
231,1.0,-0.6723874440852683,1,1,4.920022955572213,0
232,1.0,0.09081738196726108,1,1,5.3267904565179975,0
233,1.0,0.11863653863598944,1,1,5.2398518154839415,1
234,1.0,1.0558433635738613,1,1,3.6483223125012016,0
235,1.0,-0.5087154534219389,1,0,2.2507991800164997,1
236,1.0,-0.3526164705591771,1,0,1.3452799669440068,1
237,1.0,-1.1729348238085073,1,0,1.4686921881486992,1
238,1.0,-0.8707247905383841,1,1,1.9536508580304566,0
239,1.0,-1.4195215074468623,1,1,0.6716107269562226,0
240,1.0,-1.7912289455539865,1,0,2.129277963789155,1
241,1.0,-0.7311737317450784,1,1,5.3390110105533575,1
242,1.0,-1.6736546749754964,1,0,0.9590643851504982,1
243,1.0,-1.063631900095176,1,0,1.285104668705041,1
244,1.0,-0.3104961165806768,1,1,3.386060398010349,0
245,1.0,0.545942326064534,1,1,3.2458743592940658,1
246,1.0,1.9417183955887638,1,0,1.4454428282234049,1
247,1.0,-0.3533758963586504,1,0,2.1953794114188625,1
248,1.0,1.2552229333020843,1,0,1.3435225887659046,1
249,1.0,0.888757444751251,1,1,5.280199147745894,1
250,1.0,0.5459694728377198,1,1,3.488232342947285,0
251,1.0,-1.0108394031681098,1,0,1.8795298195447139,1
252,1.0,0.6005301772499718,1,1,3.355659420903053,0
253,1.0,-1.166735858634424,1,0,2.33915735469819,1
254,1.0,-1.5059837300642842,1,1,0.2823664047392289,0
255,1.0,-0.0180655252175681,1,1,0.29044757773179875,0
256,1.0,1.0513100136357185,1,1,6.7461801742352545,1
257,1.0,-1.4875170352053508,1,1,5.267413410553138,0
258,1.0,-0.3306992188190378,1,1,0.2772428599550468,0
259,1.0,-1.464614589329817,1,0,1.4677128724030184,1
260,1.0,-2.0734177595738634,1,0,3.162444948620514,1
261,1.0,-0.8473227673838055,1,1,6.704969442088256,0
262,1.0,0.8334597856532722,1,0,1.3502755952416947,1
263,1.0,-0.7031895783037436,1,0,1.7650918754826788,0
